"2014 Form EIA-860 Data - Schedule 3, 'Generator Data' (Retired & Canceled Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Cofire Fuels?,Switch Between Oil and Natural Gas?
221,"Alaska Village Elec Coop, Inc",6311,Chevak,AK,Bethel,3,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,12,1979,10,2009,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6314,Emmonak,AK,Bethel,2,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,12,1977,8,2011,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6314,Emmonak,AK,Bethel,4,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,12,1980,4,2005,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6314,Emmonak,AK,Bethel,5,Petroleum Liquids,IC,,S,X,X,,,0.5, ,0.5,0.5, ,, , ,RE,X,3,1988,4,2005,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6323,Kiana,AK,Northwest Arctic,1A,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,12,1977,1,2001,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6323,Kiana,AK,Northwest Arctic,2,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,9,1990,6,2000,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6333,Nunapitchuk,AK,Bethel,2,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,1,1976,2,2006,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6333,Nunapitchuk,AK,Bethel,3,Petroleum Liquids,IC,,S,X,X,,,0.3, ,0.3,0.3, ,, , ,RE,X,4,1976,2,2006,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6333,Nunapitchuk,AK,Bethel,4,Petroleum Liquids,IC,,S,X,X,,,0.6, ,0.6,0.6, ,, , ,RE,X,2,1986,2,2006,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6333,Nunapitchuk,AK,Bethel,5,Petroleum Liquids,IC,,S,X,X,,,0.5, ,0.5,0.5, ,, , ,RE,X,12,1994,6,2004,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
221,"Alaska Village Elec Coop, Inc",6338,St Marys IC,AK,Bethel,1,Petroleum Liquids,IC,,S,X,X,,,0.6, ,0.6,0.6, ,, , ,RE,X,5,1977,12,2006,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,,,,,,,,,,
