,Year,Plant Type,Cap_added,Capacity-Weighted Age
171,1945,Petroleum,"35460     365.6
61991      77.5
110430     11.0
Name: cap_added, dtype: float64",63.06763147
172,1946,Petroleum,"35726    58.9
62343    50.0
Name: cap_added, dtype: float64",62.70669237
173,1947,Petroleum,"35993     169.0
62696     312.4
110900     60.5
Name: cap_added, dtype: float64",59.94608394
174,1948,Petroleum,"36261     803.1
63050     723.9
111371    109.7
Name: cap_added, dtype: float64",57.08829906
175,1949,Petroleum,"36530     1245.8
63405     1367.4
111843     118.3
Name: cap_added, dtype: float64",57.64403061
176,1950,Petroleum,"36800     1201.8
63761     1575.8
112316     134.3
Name: cap_added, dtype: float64",55.93394096
177,1951,Petroleum,"37071     1372.0
64118     1870.8
112790     168.2
Name: cap_added, dtype: float64",52.04699693
178,1952,Petroleum,"37343     1692.8
64476     3132.0
113265     133.6
Name: cap_added, dtype: float64",51.35590418
179,1953,Petroleum,"37616     1966.3
64835     4800.9
113741      73.1
Name: cap_added, dtype: float64",50.78639606
180,1954,Petroleum,"37890     1282.9
65195     6552.6
114218     136.0
Name: cap_added, dtype: float64",48.64311943
181,1955,Petroleum,"38165     1743.5
65556     7292.8
114696     193.3
Name: cap_added, dtype: float64",46.56603172
182,1956,Petroleum,"38441     1238.9
65918     2416.9
115175     154.9
Name: cap_added, dtype: float64",47.56329773
183,1957,Petroleum,"38718     1594.2
66281     4339.0
115655     150.8
Name: cap_added, dtype: float64",48.50237966
184,1958,Petroleum,"38996     2749.4
66645     6600.5
116136     157.6
Name: cap_added, dtype: float64",48.45922353
185,1959,Petroleum,"39275     1740.8
67010     7812.4
116618     151.3
Name: cap_added, dtype: float64",46.01253145
186,1960,Petroleum,"39555     1639.5
67376     6029.9
117101      91.0
Name: cap_added, dtype: float64",47.17462654
187,1961,Petroleum,"39836     3493.3
67743     4941.5
117585     147.5
Name: cap_added, dtype: float64",48.03735213
188,1962,Petroleum,"40118     2429.5
68111     4129.6
118070     118.2
Name: cap_added, dtype: float64",48.81179124
189,1963,Petroleum,"40401     2946.5
68480     4936.3
118556      66.1
Name: cap_added, dtype: float64",49.08801605
190,1964,Petroleum,"40685     2307.7
68850     5174.7
119043     136.5
Name: cap_added, dtype: float64",48.36639359
191,1965,Petroleum,"40970     1604.8
69221     5984.4
119531     296.7
Name: cap_added, dtype: float64",48.21620733
192,1966,Petroleum,"41256     1414.2
69593     4475.0
120020     171.4
Name: cap_added, dtype: float64",46.92291569
193,1967,Petroleum,"41543     2432.3
69966     8305.7
120510     181.2
Name: cap_added, dtype: float64",44.18764841
194,1968,Petroleum,"41831      1958.2
70340     10427.0
121001      217.8
Name: cap_added, dtype: float64",40.08529542
195,1969,Petroleum,"42120      1907.1
70715     13372.5
121493      358.5
156735     1191.8
Name: cap_added, dtype: float64",39.43237411
196,1970,Petroleum,"42410      1134.8
71091     11146.0
121986      117.8
157295     1257.0
Name: cap_added, dtype: float64",38.21897227
197,1971,Petroleum,"42701      1187.4
71468     14219.2
89046       110.0
122480       98.0
157856     1453.6
Name: cap_added, dtype: float64",36.33872016
198,1972,Petroleum,"42993       220.8
71846     11763.8
89468       110.0
122975       86.5
158418     4412.9
Name: cap_added, dtype: float64",33.54700124
199,1973,Petroleum,"43286      1260.8
72225     12733.0
89891       110.0
123471        5.0
158981     2996.2
Name: cap_added, dtype: float64",32.69437948
200,1974,Petroleum,"43580      554.0
72605     9516.6
123968      49.5
159545    5650.5
Name: cap_added, dtype: float64",28.97531935
201,1975,Petroleum,"43875     2030.5
72986     8961.8
90315      110.0
160110    3364.5
165815      16.5
Name: cap_added, dtype: float64",27.86402002
202,1976,Petroleum,"44171     1615.3
73368     8893.4
124466     245.1
160676    1805.4
Name: cap_added, dtype: float64",27.8723672
203,1977,Petroleum,"44468       519.4
73751     12617.6
124965      376.3
161243     3614.5
Name: cap_added, dtype: float64",28.85066567
204,1978,Petroleum,"44766      2321.6
74135     12288.5
125465      145.1
161811      979.7
Name: cap_added, dtype: float64",29.33294781
205,1979,Petroleum,"45065      2127.1
74520     10727.5
90740       110.0
125966      266.0
162380      864.7
Name: cap_added, dtype: float64",30.36030571
206,1980,Petroleum,"45365      1226.9
74906     14737.4
91166       251.0
126468      341.3
162950     1922.2
Name: cap_added, dtype: float64",31.32887885
207,1981,Petroleum,"45666       278.8
75293     10502.8
126971      404.8
163521      888.2
166391       22.4
Name: cap_added, dtype: float64",31.75052859
208,1982,Petroleum,"45968       656.8
75681     12388.7
91593       128.0
127475      428.8
166968       19.5
Name: cap_added, dtype: float64",33.32664452
209,1983,Petroleum,"46271      721.7
76070     6710.7
92021      306.0
127980     333.0
167546     378.2
Name: cap_added, dtype: float64",34.98695922
210,1984,Petroleum,"46575      632.1
76460     9809.6
92450      217.7
128486     495.1
144668      14.8
168125     149.2
Name: cap_added, dtype: float64",36.64378667
211,1985,Petroleum,"46880     1220.2
76851     7353.2
92880      465.6
128993     642.1
145206      30.0
168705     140.8
Name: cap_added, dtype: float64",38.29143319
212,1986,Petroleum,"47186      632.9
77243     6402.5
93311       87.4
129501     517.3
145745      69.4
169286      85.6
Name: cap_added, dtype: float64",39.96372025
213,1987,Petroleum,"47493      276.8
77636     4200.1
93743       64.6
130010    1013.0
146285      34.5
164093    1874.3
169868     119.2
Name: cap_added, dtype: float64",41.6322869
214,1988,Petroleum,"47801      539.9
78030     1909.8
94176      289.2
130520     869.1
146826      70.4
170451      27.0
Name: cap_added, dtype: float64",43.24346964
215,1989,Petroleum,"48110      575.1
78425     1886.3
94610      328.9
131031    1012.5
147368      92.0
171035      98.8
Name: cap_added, dtype: float64",44.52672336
216,1990,Petroleum,"48420      464.0
78821     2229.4
95045       87.5
131543     800.1
147911      92.0
171620     113.2
Name: cap_added, dtype: float64",46.01572209
217,1991,Petroleum,"48731      167.2
79218     1896.3
132056    1058.9
172206      76.9
Name: cap_added, dtype: float64",47.02460582
218,1992,Petroleum,"49043      201.1
79616     1448.3
95481       97.8
132570     477.4
172793       6.9
Name: cap_added, dtype: float64",48.51287941
219,1993,Petroleum,"49356     158.9
80015     192.8
95918      48.0
133085    497.6
173381      4.2
Name: cap_added, dtype: float64",50.12506326
220,1994,Petroleum,"49670      276.9
80415     1055.0
133601     376.3
173970     124.4
Name: cap_added, dtype: float64",51.7597397
221,1995,Petroleum,"49985      123.2
80816     2624.4
134118     471.6
174560      30.0
Name: cap_added, dtype: float64",53.12706526
222,1996,Petroleum,"50301       60.7
81218     1913.3
96356       47.5
134636     482.7
Name: cap_added, dtype: float64",54.5714708
223,1997,Petroleum,"50618      62.5
81621      90.0
135155    377.4
175151     19.8
Name: cap_added, dtype: float64",55.90373371
224,1998,Petroleum,"50936       2.9
82025       3.5
96795      60.5
135675    295.9
148455      0.1
175743    177.4
Name: cap_added, dtype: float64",57.45789579
225,1999,Petroleum,"51255     188.6
82430     328.2
136196    160.6
149000      0.1
176336    697.8
Name: cap_added, dtype: float64",58.93697637
226,2000,Petroleum,"51575       3.7
82836     130.5
97235      69.8
136718    138.2
176930     56.1
Name: cap_added, dtype: float64",59.96607519
227,2001,Petroleum,"51896      150.1
83243      519.7
137241     466.3
149546       4.7
177525    1516.0
Name: cap_added, dtype: float64",60.97911323
228,2002,Petroleum,"52218      17.8
83651       0.0
97676       7.3
137765    234.0
150093      2.1
178121    661.0
Name: cap_added, dtype: float64",62.25805218
229,2003,Petroleum,"52541       82.5
84060       90.9
98118       24.0
138290     428.9
150641       0.2
178718    1609.2
Name: cap_added, dtype: float64",63.52669678
230,2004,Petroleum,"52865      79.2
84470     617.0
138816    140.2
179316    392.6
Name: cap_added, dtype: float64",64.87578617
231,2005,Petroleum,"53190       30.4
84881      477.7
98561       30.0
139343     158.6
151190       2.5
179915    2160.8
Name: cap_added, dtype: float64",66.34567773
232,2006,Petroleum,"53516       21.4
85293      580.7
99005       52.5
139871     364.8
151740       1.4
180515    2661.3
Name: cap_added, dtype: float64",67.77034133
233,2007,Petroleum,"53843       21.6
85706     1513.5
99450       56.7
140400     330.7
152291     109.5
181116    5283.8
Name: cap_added, dtype: float64",69.05334448
234,2008,Petroleum,"54171       19.7
86120     1584.0
99896       64.0
140930     351.5
152843      34.6
181718    8497.4
Name: cap_added, dtype: float64",70.59471643
235,2009,Petroleum,"54500       26.1
86535     1954.1
100343     212.7
141461     476.4
153396     108.9
182321    9921.5
Name: cap_added, dtype: float64",72.11722626
236,2010,Petroleum,"54830       21.5
86951     5836.0
100791      23.5
141993     362.9
153950     238.3
182925    4683.5
Name: cap_added, dtype: float64",72.47658978
237,2011,Petroleum,"55161      161.0
87368     4253.1
101240       6.8
142526     528.0
154505     763.2
183530    6882.8
Name: cap_added, dtype: float64",73.62502507
238,2012,Petroleum,"55493       352.9
87786      3952.5
101690      191.8
143060      561.3
155061     1578.3
184136    13270.3
Name: cap_added, dtype: float64",74.91097989
239,2013,Petroleum,"55826      428.5
88205      804.5
102141      91.0
143595     908.7
155618    3511.2
164666       0.0
184743     859.1
Name: cap_added, dtype: float64",76.37467799
240,2014,Petroleum,"56160      177.9
88625      106.2
102593      20.0
144131     278.1
156176    3692.7
165240       0.0
185351    4685.5
Name: cap_added, dtype: float64",77.82857988
241,1891,Storage,"23435    3.9
Name: cap_added, dtype: float64",NaN
242,1893,Storage,"23651    0.8
Name: cap_added, dtype: float64",NaN
243,1896,Storage,"23868    4.8
Name: cap_added, dtype: float64",NaN
